JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Central African Republic,Staff strength levels -Recruitments in FY,Units,35,0,D,74,D,D
Burkina Faso,"FTEs by function of the tax administration-Audit, investigation and other verification",Units,,,324,685,D,D
Angola,FTEs involved exclusively with customs administration activities,Units,852,860,1061,D,837,1083
Namibia,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Tax withheld by employers from employees,Thousands,0,0,D,D,0,D
Tajikistan,Staff strength levels -No. at start of FY,Units,D,D,1741,1748,1865,1801
Kenya,Gender distribution (No. of staff at the end of FY)-Executives only-Male,Units,89,90,118,123,118,D
Republic of North Macedonia,Length of service (No. of staff at the end of FY)-10-19 years,Units,D,D,D,360,323,333
Niger,Number of returns received by tax type and channel-Value added tax-Paper returns,Units,91648,95648,D,D,D,D
Benin,No. of incoming service contacts by channel-In-person,Units,,,,17520,D,18000
"Timor-Leste, Dem. Rep. of",Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Tax withheld by employers from employees,Thousands,D,D,D,0,0,D
Philippines,Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax (gross import) even where collected by customs,Thousands,D,D,0,D,,
Papua New Guinea,On-time return filing-Corporate income tax-No. of returns filed on time,Units,3581,10500,D,3798,3693,D
Japan,Number of taxpayers by tax type-Employers that withhold tax from employees-Active employers,Units,D,D,D,3544000,3560000,3569000
Cameroon,Tax cases under independent review by a higher appellate court-No. of cases resolved,Units,D,D,86,28,33,5
Zimbabwe,Number of returns received by tax type and channel-Value added tax-Paper returns,Units,0,0,24444,D,31262,10600
Guyana,Tax cases under independent review by a higher appellate court-No. of cases resolved,Units,7,6,3,4,D,D
Lao People's Democratic Republic,Number of returns received by tax type and channel-Value added tax-Paper returns,Units,D,D,55987,82,D,D
Liberia,No. of incoming service contacts by channel-In-person,Units,9,23,222,D,D,D
"China, P.R.: Mainland",No. of taxpayers included under the LTO / program-Individual taxpayers,Units,0,0,0,0,0,D
Philippines,Composition of value added tax collected by the tax administration (in thousands in local currency)-Value added tax refunds,Thousands,D,D,0,D,,
Guinea Bissau,No. of taxpayers included under the LTO / program-Individual taxpayers,Units,8,8,0,,D,0
Lithuania,Percentage of net revenue administered under HNWI program in relation to total tax revenue collected by the tax administration,Units,2.28,2.5,D,D,D,0.33
Zimbabwe,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,0,0,8000,D,1910,1711
Lao People's Democratic Republic,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,D,D,8005,0,D,D
El Salvador,Staff strength levels -No. at start of FY,Units,993,999,,D,D,828
Suriname,Gender distribution (No. of staff at the end of FY)-Executives only-Male,Units,D,D,,D,21,2
"Türkiye, Rep of",No. of incoming service contacts by channel-Online via taxpayer account,Units,D,D,0,22153,26704,26153
Greece,No. of incoming service contacts by channel-In-person,Units,D,D,D,33170,281209,182818
Cabo Verde,Tax cases under independent review by external bodies-No. of cases initiated in FY,Units,D,D,D,17,32,8
Paraguay,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,296,204,193,246,28,D
Honduras,FTEs by function of the tax administration-ICT support,Units,,,,,0,D
Ghana,"FTEs by function of the tax administration-Audit, investigation and other verification",Units,698,770,3339,D,606,608
Kiribati,On-time payments-Personal income tax-Value of payments received (in thousands in local currency),Thousands,,,,,0,D
Fiji,No. of incoming service contacts by channel-In-person,Units,,D,3359,34379,D,358068
Malawi,No. of incoming service contacts by channel-In-person,Units,,,,,4728,D
Togo,No. of incoming service contacts by channel-Telephone call,Units,487,642,,2531,D,D
Malaysia,Percentage of net revenue administered under HNWI program in relation to total tax revenue collected by the tax administration,Units,1.08,1.11,0.73,3.11,D,D
Paraguay,Number of returns received by tax type and channel-Value added tax-Paper returns,Units,1490,1262,1476,1985,1532,D
Lao People's Democratic Republic,On-time return filing-Value added tax-No. of returns filed on time,Units,D,D,119003,54,D,D
Chad,Staff strength levels -Recruitments in FY,Units,D,84,91,26,D,D
Montenegro,Total tax administration FTEs - Derived,Units,574,571,581,601,D,D
El Salvador,Gender distribution (No. of staff at the end of FY)-All staff-Female,Units,508,511,,D,416,438
Burundi,Number of taxpayers by tax type-Personal income tax-Registered taxpayers,Units,1776,1785,1873,2024,23661,D
Lesotho,Number of returns received by tax type and channel-Value added tax-Paper returns,Units,D,D,1582,21315,22420,24709
Republic of North Macedonia,Gender distribution (No. of staff at the end of FY)-Executives only-Male,Units,D,D,D,45,34,5
El Salvador,Length of service (No. of staff at the end of FY)-10-19 years,Units,338,374,,D,D,196
Chad,Staff strength levels -No. at start of FY,Units,1084,1126,1276,1167,D,D
"Azerbaijan, Republic of",Length of service (No. of staff at the end of FY)-10-19 years,Units,D,D,537,677,D,D
Philippines,"FTEs by function of the tax administration-Audit, investigation and other verification",Units,D,D,8163,8525,,
"Timor-Leste, Dem. Rep. of",FTEs by function of the tax administration-Dispute management,Units,,,,,3,D
Montserrat,Length of service (No. of staff at the end of FY)-10-19 years,Units,6,6,12,10,D,
Chad,Number of taxpayers by tax type-Corporate income tax-Active taxpayers,Units,1348,1395,D,D,D,1931
Japan,Number of taxpayers by tax type-Corporate income tax-Active taxpayers,Units,D,D,D,2946000,3005000,3069000
Central African Republic,No. of incoming service contacts by channel-Online via taxpayer account,Units,0,0,0,D,D,D
Fiji,No. of incoming service contacts by channel-Telephone call,Units,,D,7368,39952,57153,66504
India,Staff strength levels -No. at start of FY,Units,D,D,D,94591,112134,98603
Samoa,Number of taxpayers by tax type-Personal income tax-Registered taxpayers,Units,D,D,,D,4705,4705
Germany,On-time return filing-Corporate income tax-No. of returns filed on time,Units,1087199,1105498,1058000,D,D,D
India,Length of service (No. of staff at the end of FY)-10-19 years,Units,D,D,D,D,27148,23815
"Azerbaijan, Republic of",On-time payments-Value added tax-Value of payments expected by due date (in thousands in local currency),Thousands,D,D,0,D,D,D
Vietnam,Length of service (No. of staff at the end of FY)-10-19 years,Units,D,D,D,11560,D,12533
Vietnam,Gender distribution (No. of staff at the end of FY)-Executives only-Male,Units,D,D,D,235,7169,6961
Lao People's Democratic Republic,Age distribution (No. of staff at the end of FY)-25-34 years,Units,D,D,611,672,672,672
El Salvador,Age distribution (No. of staff at the end of FY)-55-64 years,Units,213,224,,D,D,216
El Salvador,Staff strength levels -Recruitments in FY,Units,26,30,,D,D,88
Kyrgyz Republic,Number of taxpayers by tax type-Corporate income tax-Active taxpayers,Units,55075,509808,,D,54066,54066
El Salvador,Age distribution (No. of staff at the end of FY)-25-34 years,Units,129,123,,D,D,136
Burundi,Number of taxpayers by tax type-Value added tax-Registered taxpayers,Units,1866,2084,2172,1998,3339,D
Kazakhstan,"FTEs by function of the tax administration-Audit, investigation and other verification",Units,236,D,985,587,588,0
Republic of North Macedonia,On-time return filing-Value added tax-No. of returns filed on time,Units,D,205608,197053,191572,199095,208376
Republika Srpska,"FTEs by function of the tax administration-Audit, investigation and other verification",Units,D,D,D,139,149,153
"Kosovo, Republic of",No. of incoming service contacts by channel-Online via taxpayer account,Units,,,0,D,D,D
Niger,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,10295,10295,D,D,D,D
Cameroon,No. of incoming service contacts by channel-Telephone call,Units,D,D,0,D,D,D
Cameroon,"FTEs by function of the tax administration-Audit, investigation and other verification",Units,D,D,197,389,308,317
Lesotho,Tax cases under independent review by external bodies-No. of cases initiated in FY,Units,1,6,D,1,0,0
Panama,Number of taxpayers by tax type-Personal income tax-Registered taxpayers,Units,785471,814440,869031,D,444767,455165
"Congo, Democratic Republic of",Number of taxpayers by tax type-Value added tax-Registered taxpayers,Units,6627,D,D,D,9747,9579
Moldova,Number of taxpayers by tax type-Personal income tax-Registered taxpayers,Units,D,D,157201,150610,142840,56333
Angola,On-time return filing-Corporate income tax-No. of returns filed on time,Units,26646,42063,6443,30631,D,D
"Congo, Republic of",No. of taxpayers included under the LTO / program-Individual taxpayers,Units,0,0,0,,38,D
"Korea, Republic of",Number of taxpayers by tax type-Personal income tax-Registered taxpayers,Units,7362000,7640000,D,9109000,10484000,12780000
Panama,Number of taxpayers by tax type-Value added tax-Registered taxpayers,Units,58831,60485,89746,D,80205,88396
Palau,Number of taxpayers by tax type-Personal income tax-Registered taxpayers,Units,,,0,11142,0,D
Rwanda,On-time return filing-Corporate income tax-No. of returns filed on time,Units,35006,D,D,D,D,143046
Chad,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,1348,1395,D,D,D,D
Samoa,Number of taxpayers by tax type-Value added tax-Registered taxpayers,Units,1090,1176,1197,D,1124,1240
Chad,Number of taxpayers by tax type-Personal income tax-Registered taxpayers,Units,1348,1500,D,D,D,D
Mozambique,Number of taxpayers by tax type-Personal income tax-Registered taxpayers,Units,104646,112626,173925,186416,D,D
Sierra Leone,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,D,D,D,D,400,914
Nepal,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,,,D,,663,2780
Nepal,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,,,790,970,D,D
Cameroon,No. of incoming service contacts by channel-In-person,Units,D,D,0,D,D,D
Samoa,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total number completed,Units,136,126,D,D,38,
Lesotho,Number of taxpayers by tax type-Corporate income tax-Active taxpayers,Units,18419,21582,21598,24311,D,D
India,Age distribution (No. of staff at the end of FY)-55-64 years,Units,D,D,D,D,14885,19512
Belarus,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total number completed,Units,D,D,7,0,0,0
Vanuatu,On-time return filing-Value added tax-No. of returns filed on time,Units,,,13728,1367,D,D
El Salvador,Percentage of payments received electronically-By number of payments,Units,87,91,,D,100,100
Romania,"FTEs by function of the tax administration-Audit, investigation and other verification",Units,5522,5073,4833,5059,D,4722
Taiwan,Percentage of net revenue administered under HNWI program in relation to total tax revenue collected by the tax administration,Units,,,,D,D,0.2
Poland,No. of incoming service contacts by channel-In-person,Units,D,D,4363376,3983120,3983120,1178586
India,Gender distribution (No. of staff at the end of FY)-All staff-Female,Units,D,D,D,14542,D,14768
Namibia,Percentage of payments received electronically-By number of payments,Units,0,0,D,0,78,D
Vietnam,Age distribution (No. of staff at the end of FY)-55-64 years,Units,1,D,D,3703,5376,5448
Romania,FTEs by function of the tax administration-ICT support,Units,,,,,D,509
Brazil,Length of service (No. of staff at the end of FY)-10-19 years,Units,D,D,D,5588,5299,4904
Ghana,Percentage of net revenue administered under HNWI program in relation to total tax revenue collected by the tax administration,Units,0.07,0.14,D,D,0.45,0.47
Philippines,On-time payments-Value added tax-Value of payments made on time (in thousands in local currency),Thousands,D,D,0,D,,
Vanuatu,Number of returns received by tax type and channel-Value added tax-Paper returns,Units,,,12990,1367,D,D
India,Age distribution (No. of staff at the end of FY)-25-34 years,Units,D,D,D,D,35474,30232
India,Staff strength levels -Recruitments in FY,Units,D,D,D,6151,6000,16726
Vanuatu,Number of taxpayers by tax type-Value added tax-Active taxpayers,Units,,,1349,1850,1613,D
Lesotho,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,D,D,6033,6155,7604,9456
Vietnam,Age distribution (No. of staff at the end of FY)-25-34 years,Units,10597,10743,D,8642,8734,8163
"Congo, Democratic Republic of",Staff strength levels -Recruitments in FY,Units,39,51,59,D,918,372
Mali,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,,,,,D,123
Panama,Tax cases under internal review procedures-No. of cases initiated in FY,Units,455,310,250,D,2577,
Samoa,ICT expenditure for tax as prorportion of total ICT expenditure,Units,D,D,D,D,7,7
Grenada,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,0,D,D,28,2,3
Mozambique,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total number completed,Units,231,198,68,D,D,153
Poland,No. of incoming service contacts by channel-Telephone call,Units,1612755,1691237,25696000,20421863,D,D
Burundi,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,0,0,0,0,0,D
Germany,On-time return filing-Value added tax-No. of returns filed on time,Units,5002316,4969003,4707000,D,D,D
El Salvador,Percentage of payments received electronically-By value of payments,Units,88,93,,D,100,100
Zambia,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,D,D,7611,D,D,D
Cook Islands,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total number completed,Units,,,D,0,D,
Namibia,On-time return filing-Corporate income tax-No. of returns expected,Units,101943,151773,552580,281157,513731,D
Ghana,Percentage of payments received electronically-By number of payments,Units,0,0,D,D,100,100
Slovak Republic,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,D,D,D,D,D,2332983
Nauru,Percentage of payments received electronically-By value of payments,Units,0,0,D,D,D,98
Kazakhstan,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,D,D,41275,D,2130,0
São Tomé and Príncipe,FTEs by function of the tax administration-Other functions,Units,D,D,D,43,0,0
Bosnia and Herzegovina,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,D,D,D,83,22,19
Namibia,Percentage of payments received electronically-By value of payments,Units,98,89.7,89,88.59,68,D
Lao People's Democratic Republic,Number of taxpayers by tax type-Corporate income tax-Registered taxpayers,Units,D,D,3369,25953,D,589
Rwanda,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,113279,138623,D,D,D,282400
Lao People's Democratic Republic,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,D,D,100,6481,D,D
Angola,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,,182308,391,774,7339,D
São Tomé and Príncipe,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,D,D,0,113185,D,D
Malta,FTEs by function of the tax administration-Other functions,Units,D,D,110,104,70,103
Albania,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,D,D,90758,75530,82433,77243
Grenada,Tax cases under internal review procedures-No. of cases initiated in FY,Units,0,D,D,28,8,3
Lao People's Democratic Republic,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,D,D,12410,D,D,D
Guinea Bissau,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,0,0,D,,D,
Japan,Gender distribution (No. of staff at the end of FY)-Executives only-Female,Units,D,D,279,324,325,390
Eswatini,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,366,359,471,556,D,D
Romania,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,D,D,D,D,14716366,11801720
Nigeria,Age distribution (No. of staff at the end of FY)-Over 64 years,Units,0,0,,D,0,0
Côte d'Ivoire,Length of service (No. of staff at the end of FY)-Under 5 years,Units,,,,,D,1852
Japan,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,D,D,11411,10959,9979,9780
Ghana,Percentage of payments received electronically-By value of payments,Units,0,0,D,D,100,100
Guinea Bissau,On-time return filing-Corporate income tax-No. of returns expected,Units,D,D,149,,D,D
Nauru,On-time payments-Personal income tax-Value of payments made on time (in thousands in local currency),Thousands,0,0,0,D,0,0
"Congo, Democratic Republic of",Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,87,88,84.54,89.27,86.18,D
Grenada,Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,86,73.4,73,D,78,95
Kazakhstan,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,D,D,0,0,65,1788
Malawi,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,47,40,D,D,182,163
Japan,Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,56,55,53,52,D,D
São Tomé and Príncipe,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,0,0,0,D,D,0
Kazakhstan,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,D,D,0,D,D,0
Kazakhstan,Tax cases under internal review procedures-No. of cases initiated in FY,Units,D,D,0,0,1365,1932
Kazakhstan,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,D,D,0,0,0,0
Uruguay,On-time payments-Employers that withhold tax from employees-Value of payments expected by due date (in thousands in local currency),Thousands,0,0,0,0,D,D
Namibia,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,15247,16114,17282,17514,D,18384
Panama,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,279,156,109,D,2649,
Malawi,Percentage of payments received electronically-By number of payments,Units,D,D,46,D,70.39,D
South Africa,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,2888,3051,3111,3480,3628,D
Cook Islands,Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,,,D,43,D,
Vietnam,Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,D,D,D,17,17,17
Sierra Leone,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,D,D,D,0,0,0
Fiji,Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,D,D,60,65,35.4,35.02
Nepal,Length of service (No. of staff at the end of FY)-Over 19 years,Units,,,223,414,162,D
Thailand,No. of incoming service contacts by channel-Mail / post,Units,D,D,D,24807,72000,37200
Brazil,Length of service (No. of staff at the end of FY)-Under 5 years,Units,D,D,D,42,128,129
Cameroon,Gender distribution (No. of staff at the end of FY)-Executives only-Female,Units,D,D,33,38,38,36
"Azerbaijan, Republic of",FTEs by function of the tax administration-Other functions,Units,D,D,2633,1666,1190,1302
Mozambique,On-time return filing-Corporate income tax-No. of returns expected,Units,32296,31260,31992,34743,D,D
São Tomé and Príncipe,On-time return filing-Corporate income tax-No. of returns expected,Units,22453,23734,0,D,D,3101
Iceland,FTEs by function of the tax administration-Other functions,Units,61,58,D,47,0,19
Vietnam,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,53159905,57752307,23558427,62518269,68598664,D
India,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,68881,19580,28178,D,2008251
Vietnam,On-time return filing-Value added tax-No. of returns expected,Units,3604531,3882179,4070489,4429382,D,3852995
Sri Lanka,Percentage of payments received electronically-By value of payments,Units,,,D,D,14,D
Belize,Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,70,70,60,D,63,63
Rwanda,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,72,110,D,D,D,176
Botswana,Tax cases under internal review procedures-No. of cases initiated in FY,Units,58,49,51,59,D,55
Tuvalu,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Tax withheld from employees by employers,Thousands,,,,0,0,D
Côte d'Ivoire,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,,,,,1422,D
"Congo, Democratic Republic of",Gender distribution (No. of staff at the end of FY)-Executives only-Female,Units,D,D,D,D,251,84
Eswatini,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,97,103,53,20,D,D
Cameroon,Length of service (No. of staff at the end of FY)-Under 5 years,Units,D,D,108,137,175,198
Japan,Staff strength levels -Departures in FY,Units,D,D,3400,4000,3000,4000
Mali,Age distribution (No. of staff at the end of FY)-Over 64 years,Units,,,,,82,D
Gabon,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,D,D,24293,D,D,D
Malawi,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,393,357,230,D,795,1391
Vanuatu,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,,,152,D,623,371
Sweden,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,D,D,D,D,576563,598347
Gabon,Number of taxpayers by tax type-Corporate income tax-Registered taxpayers,Units,D,D,9643,4613,D,D
Suriname,Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,,,,,D,0
Suriname,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,D,D,,D,1,2
Kyrgyz Republic,On-time return filing-Corporate income tax-No. of returns expected,Units,115957,121259,,D,55554,D
Central African Republic,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,,,0,D,D,
Japan,Age distribution (No. of staff at the end of FY)-35-44 years,Units,D,D,10026,10520,10995,11341
Central African Republic,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,,,0,D,D,D
Gabon,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,D,D,11113,D,D,D
Gabon,On-time return filing-Value added tax-No. of returns expected,Units,D,D,8380,21138,D,D
Madagascar,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,D,D,D,77768,0,D
"Gambia, The",Length of service (No. of staff at the end of FY)-Over 19 years,Units,D,0,,0,0,0
Burundi,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,34,37,19,24,18,D
"Gambia, The",Age distribution (No. of staff at the end of FY)-35-44 years,Units,D,D,,353,D,293
Botswana,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,25,33,30,25,D,28
Sierra Leone,Tax cases under internal review procedures-No. of cases initiated in FY,Units,D,D,D,0,0,0
France,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,23389,22793,D,D,D,D
Dominica,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,D,68,88,60,97,109
Japan,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,D,D,D,1000,1000,1204
Central African Republic,Age distribution (No. of staff at the end of FY)-35-44 years,Units,D,D,120,D,75,125
Germany,Gender distribution (No. of staff at the end of FY)-Executives only-Other,Units,D,D,D,,0,
Brunei Darussalam,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,,,D,D,56,291
Iceland,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,D,D,D,D,630,968
Burundi,Percentage of payments received electronically-By number of payments,Units,12.3,16.2,100,100,13.01,D
Vietnam,Number of taxpayers by tax type-Corporate income tax-Registered taxpayers,Units,1484241,1636149,1785147,1912854,2057933,D
Kyrgyz Republic,Percentage of payments received electronically-By number of payments,Units,100,100,,D,100,D
Trinidad and Tobago,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,3272,2750,1450,278,D,1816
Malawi,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,0,0,0,0,D,6975
Kyrgyz Republic,Percentage of payments received electronically-By value of payments,Units,100,100,,D,100,D
Trinidad and Tobago,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,0,0,0,D
Montenegro,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,0,D,D,D
Pakistan,On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,0,D,0,D,D,D
Guyana,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,703,703,D,532,487,397
Brunei Darussalam,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,,,D,D,0,0
Pakistan,Percentage of payments received electronically-By number of payments,Units,99.03,92.4,80,80,D,D
St. Kitts and Nevis,Closing stock of arrears at year-end by tax type (in thousands in local currency)-Personal income tax,Thousands,D,D,D,D,D,0
Niger,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total number completed,Units,164,181,D,105,64,D
Romania,Length of service (No. of staff at the end of FY)-5-9 years,Units,1344,1876,2320,3085,D,2124
South Africa,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,411,459,500,377,D,D
Iceland,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,,,,,D,20
Nigeria,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,D,D,,D,27,420
Central African Republic,Length of service (No. of staff at the end of FY)-Over 19 years,Units,D,D,D,D,163,133
Fiji,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,D,D,291,D,D,D
Namibia,FTEs by function of the tax administration-Other functions,Units,378,380,D,D,26,D
Central African Republic,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,D,D,0,188,129,6
Kenya,ICT expenditure for tax as prorportion of total ICT expenditure,Units,3.4,4.7,,D,D,D
Namibia,FTEs by function of the tax administration-Human resource management,Units,,,,,16,D
Suriname,On-time return filing-Value added tax-No. of returns expected,Units,,,,,D,45336
Japan,Age distribution (No. of staff at the end of FY)-Over 64 years,Units,D,D,78,127,137,162
Malawi,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,131,151,577,D,612,171
"Gambia, The",Length of service (No. of staff at the end of FY)-Under 5 years,Units,D,D,,225,213,254
Tonga,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,710,710,22160,D,3798,4107
Nigeria,Tax cases under internal review procedures-No. of cases initiated in FY,Units,D,D,,D,50,126
Tonga,On-time return filing-Value added tax-No. of returns expected,Units,7773,8272,8446,D,8435,8640
Côte d'Ivoire,Percentage of payments received electronically-By number of payments,Units,,,,,D,95
Nauru,On-time payments-Personal income tax-Value of payments expected by due date (in thousands in local currency),Thousands,0,0,0,D,0,0
Suriname,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,D,D,,D,26,20
Uzbekistan,Number of returns received by tax type and channel-Corporate income tax-Paper returns,Units,0,0,2,0,D,0
Namibia,Tax cases under internal review procedures-No. of cases initiated in FY,Units,4,1,D,8,D,D
Pakistan,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Registered taxpayers,Units,653,580,655,D,D,D
"Congo, Republic of",On-time return filing-Corporate income tax-No. of returns expected,Units,841,856,2051,,4717,D
Suriname,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Registered taxpayers,Units,,,,D,3024,2278
Senegal,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Registered taxpayers,Units,D,D,178,219,D,D
Suriname,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,D,D,,23,17,17
Suriname,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,D,D,,138,28,28
Romania,Age distribution (No. of staff at the end of FY)-Under 25 years,Units,76,57,9,19,D,24
Romania,Length of service (No. of staff at the end of FY)-Over 19 years,Units,10770,11244,10786,11217,D,11998
Fiji,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,D,D,45,35,D,D
El Salvador,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,32842,32826,,36549,40005,D
Gabon,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,D,D,3,6,6,6
Tonga,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,11,12,D,20,10,7
Niger,No. of incoming service contacts by channel-E-mail,Units,0,0,,0,D,
Greece,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,D,D,D,D,2640,602
Japan,Length of service (No. of staff at the end of FY)-Under 5 years,Units,D,D,7950,8187,8529,8736
Mozambique,Gender distribution (No. of staff at the end of FY)-Executives only-Female,Units,D,D,207,216,222,10
Japan,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,D,D,D,30000,30000,30433
Central African Republic,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,0,0,0,D,D,D
Cambodia,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Registered taxpayers,Units,D,D,148,78,D,D
France,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,29780,28243,D,D,D,D
Central African Republic,Tax cases under internal review procedures-No. of cases initiated in FY,Units,17,D,29,311,339,44
