JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Papua New Guinea,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,10,20,D,0,D,D
Sri Lanka,"No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,,,D,D,0,0
"Timor-Leste, Dem. Rep. of",Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Value added tax,Thousands,,,D,0,0,
Montserrat,Age distribution (No. of staff at the end of FY)-35-44 years,Units,12,13,15,14,D,
"Timor-Leste, Dem. Rep. of",Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,0,D,0,0,4117,D
Georgia,On-time return filing-Corporate income tax-No. of returns expected,Units,D,1031188,882856,854373,706662,729563
Montenegro,On-time payments-Employers that withhold tax from employees-Value of payments made on time (in thousands in local currency),Thousands,D,D,0,D,D,D
Montenegro,On-time payments-Corporate income tax-Value of payments made on time (in thousands in local currency),Thousands,D,D,0,D,D,D
St. Kitts and Nevis,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total number completed,Units,117,83,43,D,7,D
Uzbekistan,Percentage of payments received electronically-By value of payments,Units,29.27,33.56,D,D,100,100
"Serbia, Republic of",Tax cases under internal review procedures-No. of cases initiated in FY,Units,D,D,D,D,D,6130
Niger,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,12,5,D,5,D,D
Senegal,Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,4941,10735,29466,30283,29296,D
Guinea Bissau,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,D,D,D,,329,D
Burkina Faso,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,,,2648,357,D,2005
Bolivia,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,0,0,221961,221204,218881,D
Papua New Guinea,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,D,D,25,D,D,D
"Congo, Democratic Republic of",Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,,,,,105,D
Republic of North Macedonia,Length of service (No. of staff at the end of FY)-Over 19 years,Units,D,D,D,310,289,257
Togo,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Active taxpayers,Units,2,2,D,11,14,7
El Salvador,Length of service (No. of staff at the end of FY)-Over 19 years,Units,481,472,,D,D,405
"Congo, Republic of",No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,D,D,0,,D,D
Kazakhstan,Percentage of net revenue administered under LTO/P in relation to total net revenue collected by the tax administration,Units,D,D,99.99,D,D,46
"Timor-Leste, Dem. Rep. of",Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,D,D,D,0,0,D
South Africa,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,0,0,0,0,D,4279215
Samoa,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,D,D,0,D,D,0
El Salvador,Staff strength levels -No. at end of FY,Units,999,1007,,D,803,848
Tonga,Number of taxpayers by tax type-Corporate income tax-Registered taxpayers,Units,1121,1121,837,D,31332,31557
"Azerbaijan, Republic of",Length of service (No. of staff at the end of FY)-Over 19 years,Units,D,D,584,576,D,D
"Congo, Republic of",Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,,,0,,D,
"Congo, Republic of",Number of taxpayers by tax type-Personal income tax-Active taxpayers,Units,11121,12313,6541,,4993,D
Tonga,Number of taxpayers by tax type-Employers that withhold tax from employees-Registered employers,Units,1500,1500,1520,D,5840,6021
"Congo, Republic of",Value of additional assessments raised from audits and verification actions by tax type (including penalties and interest) (in thousands in local currency)-Personal income tax,Thousands,D,D,0,,D,D
Palau,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,,,308,D,12,11
"Timor-Leste, Dem. Rep. of",Closing stock of arrears at year-end by tax type (in thousands in local currency)-Value added tax,Thousands,,,D,0,0,
Kyrgyz Republic,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,11,47,,122,45,D
El Salvador,Age distribution (No. of staff at the end of FY)-Over 64 years,Units,40,49,,D,D,34
Zambia,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,D,D,1443,1377,1937,1474
El Salvador,Staff strength levels -Departures in FY,Units,20,22,,D,D,68
Kyrgyz Republic,No. of incoming service contacts by channel-E-mail,Units,57,41,,21,311,D
Bangladesh,Length of service (No. of staff at the end of FY)-5-9 years,Units,2059,3485,D,,9432,3912
Lao People's Democratic Republic,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,D,0,D,D,D,D
Côte d'Ivoire,Audits undertaken by the LTO / program (excluding electronic compliance checks)-Total number completed,Units,,,,,713,D
Pakistan,On-time payments-Corporate income tax-Value of payments expected by due date (in thousands in local currency),Thousands,0,D,0,D,D,D
Grenada,Number of taxpayers by tax type-Excise (domestic manufacturers / producers)-Registered taxpayers,Units,11,11,11,D,10,15
Bangladesh,Age distribution (No. of staff at the end of FY)-Under 25 years,Units,569,1236,D,,92,765
Poland,Percentage of payments received electronically-By number of payments,Units,98.86,98.36,99.58,100,100,D
Republic of North Macedonia,Age distribution (No. of staff at the end of FY)-Under 25 years,Units,1,D,D,20,2,2
Sri Lanka,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,,,D,90,68,83
Poland,Percentage of payments received electronically-By value of payments,Units,99.91,99.92,99.98,100,100,D
Bangladesh,FTEs by function of the tax administration-Enforced debt collection and related functions,Units,2095,1002,D,,1674,D
St. Vincent and the Grenadines,Percentage of payments received electronically-By value of payments,Units,D,D,D,D,0.03,0.23
Côte d'Ivoire,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,,,,,2326,D
Pakistan,No. of incoming service contacts by channel-E-mail,Units,0,0,,,10000,D
"Congo, Republic of",Tax cases under internal review procedures-No. of cases on hand at FY end,Units,D,D,0,,D,161
Chad,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,221,451,246,210,D,D
Zimbabwe,Salary expenditure - Derived,Units,91572,173744,2763380,10251149,D,114793842
"Azerbaijan, Republic of",On-time payments-Corporate income tax-Value of payments made on time (in thousands in local currency),Thousands,D,D,0,D,D,D
"Azerbaijan, Republic of",Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,D,D,0,943,D,835
Senegal,Percentage of payments received electronically-By value of payments,Units,D,D,D,35.6,D,D
"Azerbaijan, Republic of",No. of incoming service contacts by channel-E-mail,Units,D,D,0,D,D,D
Angola,Number of returns received by tax type and channel-Corporate income tax-Electronic returns-Not prefilled,Units,1309,2622,D,D,D,D
Chad,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,351,301,389,424,D,D
El Salvador,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,77,81,,D,D,67
Chad,Length of service (No. of staff at the end of FY)-Under 5 years,Units,375,210,154,310,D,D
Republic of North Macedonia,Length of service (No. of staff at the end of FY)-5-9 years,Units,D,D,D,227,187,126
Pakistan,No. of tax crime investigation cases referred for prosecution during the fiscal year (where the tax administration has responsibility),Units,17,16,132,D,D,D
El Salvador,Length of service (No. of staff at the end of FY)-5-9 years,Units,81,51,,D,D,62
"Serbia, Republic of",Tax cases under internal review procedures-No. of cases on hand at FY end,Units,D,D,D,D,D,992
Lao People's Democratic Republic,Age distribution (No. of staff at the end of FY)-Under 25 years,Units,D,D,3,237,237,237
Cameroon,Age distribution (No. of staff at the end of FY)-Under 25 years,Units,8,D,3,8,7,110
Senegal,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,0,0,21,D,D,D
"Türkiye, Rep of","No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,D,D,0,0,0,241707
Gabon,Tax cases under independent review by external bodies-No. of cases on hand at FY end,Units,,,7,,5,D
Senegal,Tax cases under internal review procedures-No. of cases on hand at FY end,Units,297,326,83,D,D,D
India,Percentage of payments received electronically-By value of payments,Units,D,D,D,D,100,100
Angola,Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits where a tax adjustment was made,Units,10916,10077,468,1464,2950,D
United States,Closing stock of arrears at year-end (in thousands in local currency)-Arrears relating to state owned enterprises considered not collectible,Thousands,0,0,D,D,D,D
Central African Republic,No. of incoming service contacts by channel-E-mail,Units,0,0,0,D,5215,4266
Lao People's Democratic Republic,Academic qualifications (No. of staff at the end of FY)-Masters degree (or above),Units,D,47,188,200,200,190
Chad,Age distribution (No. of staff at the end of FY)-Over 64 years,Units,64,65,116,5,D,D
El Salvador,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,557,565,,D,D,515
Lao People's Democratic Republic,Academic qualifications (No. of staff at the end of FY)-Bachelors degree,Units,D,79,2135,2070,2059,1989
"Timor-Leste, Dem. Rep. of",Details on all audits and verifiction actions undertaken (excluding electronic compliance checks)-No. of audits completed,Units,57,12,3,4,7,D
"Congo, Republic of",Tax cases under internal review procedures-No. of cases initiated in FY,Units,D,D,0,,D,206
Pakistan,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,0,0,0,0,218746,D
Kyrgyz Republic,Tax cases under internal review procedures-No. of cases initiated in FY,Units,500,397,,193,611,D
El Salvador,Length of service (No. of staff at the end of FY)-Under 5 years,Units,99,110,,D,D,185
Seychelles,Closing stock of arrears at year-end (in thousands in local currency)-Arrears relating to state owned enterprises considered not collectible,Thousands,0,0,0,0,0,D
Kyrgyz Republic,No. of incoming service contacts by channel-Mail / post,Units,19030,21176,,2378,389,D
Vietnam,Length of service (No. of staff at the end of FY)-Under 5 years,Units,D,D,D,5276,D,7576
"Kosovo, Republic of","No. of incoming service contacts by channel-Digital assistance (e.g. chat, digital assistant)",Units,,,0,D,D,D
Zambia,No. of incoming service contacts by channel-Mail / post,Units,D,D,D,0,D,D
Samoa,Number of returns received by tax type and channel-Value added tax-Electronic returns-Not prefilled,Units,D,D,0,D,D,0
